County_Unit,Fire_Name,Start_Date,Controlled_Date,Total_Acres_Burned,Cause,Structures_Destroyed,Structures_Damaged,struc_impact,interv,dur,days
SAN DIEGO,PENDLETON COMPLEX,2018-07-06T00:00:00Z,2018-07-10T00:00:00Z,1520,UNDETERMINED,0,0,0,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
LOS ANGELES,STONE,2018-06-04T00:00:00Z,2018-06-08T00:00:00Z,1352,HUMAN,0,0,0,2018-06-04 UTC--2018-06-08 UTC,345600s (~4 days),4
VENTURA,SOLIMAR,2015-12-25T00:00:00Z,2015-12-28T00:00:00Z,1288,UNDETERMINED,0,0,0,2015-12-25 UTC--2015-12-28 UTC,259200s (~3 days),3
SAN DIEGO,ROBLAR,2016-07-21T00:00:00Z,2016-07-27T00:00:00Z,1245,UNDETERMINED,0,0,0,2016-07-21 UTC--2016-07-27 UTC,518400s (~6 days),6
LOS ANGELES,RESERVOIR,2016-06-20T00:00:00Z,2016-07-05T00:00:00Z,1146,HUMAN,0,0,0,2016-06-20 UTC--2016-07-05 UTC,1296000s (~2.14 weeks),15
LOS ANGELES,SAGE,2016-07-09T00:00:00Z,2016-07-16T00:00:00Z,1100,CAMPFIRE,0,2,2,2016-07-09 UTC--2016-07-16 UTC,604800s (~1 weeks),7
SAN DIEGO,BUFFALO,2017-10-17T00:00:00Z,2017-10-19T00:00:00Z,1088,UNDETERMINED,0,0,0,2017-10-17 UTC--2017-10-19 UTC,172800s (~2 days),2
ORANGE,SILVERADO,2014-09-12T00:00:00Z,2014-09-20T00:00:00Z,985,UNDETERMINED,0,0,0,2014-09-12 UTC--2014-09-20 UTC,691200s (~1.14 weeks),8
LOS ANGELES,LAKE,2017-06-17T00:00:00Z,2017-06-23T00:00:00Z,850,UNDETERMINED,0,2,2,2017-06-17 UTC--2017-06-23 UTC,518400s (~6 days),6
SAN DIEGO,MORTAR,2015-04-28T00:00:00Z,2015-04-29T00:00:00Z,800,UNDETERMINED,0,0,0,2015-04-28 UTC--2015-04-29 UTC,86400s (~1 days),1
SAN DIEGO,CRISTIANITOS,2017-06-28T00:00:00Z,2017-07-01T00:00:00Z,761,UNDETERMINED,0,0,0,2017-06-28 UTC--2017-07-01 UTC,259200s (~3 days),3
LOS ANGELES,PLACERITA,2017-06-25T00:00:00Z,2017-06-28T00:00:00Z,760,DEBRIS BURNING,1,1,2,2017-06-25 UTC--2017-06-28 UTC,259200s (~3 days),3
SANTA BARBARA,MIGUELITO,2014-05-13T00:00:00Z,2014-05-16T00:00:00Z,632,UNDETERMINED,0,0,0,2014-05-13 UTC--2014-05-16 UTC,259200s (~3 days),3
SAN DIEGO,POINSETTIA,2014-05-14T00:00:00Z,2014-05-17T00:00:00Z,600,UNDETERMINED,28,0,28,2014-05-14 UTC--2014-05-17 UTC,259200s (~3 days),3
SAN DIEGO,WEST,2018-07-06T00:00:00Z,2018-07-10T00:00:00Z,505,UNDETERMINED,48,14,62,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
